AREA,PERIMETER,NCIDAD_,NCIDAD_ID,NOME
432466.300000,3007.099000,259,449,Anta
56634.560000,894.085400,260,235,Doutor Loretti
158506.400000,1783.006000,261,198,Sumidouro
676726.200000,4870.686000,262,199,Duas Barras
102863.700000,1456.769000,263,450,Penha Longa
328870.600000,2878.232000,264,200,Duas Barras
73474.550000,1105.956000,265,451,São Sebastião do Barreado
990208.600000,8699.845000,266,452,Rio Preto
482203.600000,2884.516000,267,453,Porto das Flores
225527.900000,2343.271000,268,632,Manuel Duarte
70332.280000,1441.741000,269,454,Sítio Santa Maria
101339.400000,1583.684000,270,201,Trajano de Morais
102178.000000,1470.219000,271,202,Visconde de Imbé
451644.000000,5200.896000,272,455,Parapeúna
9739543.000000,37277.450000,273,456,Três Rios
258315.200000,3055.437000,274,203,Monerá
